threshold,model_name,avg_pr,avg_recall,avg_f1,total_time
0.1,mistral,0.44,0.22,0.28,1460.0
0.2,mistral,0.49,0.42,0.42,1601.86
0.3,mistral,0.71,0.52,0.52,1475.5
0.4,mistral,0.81,0.65,0.66,1209.82
0.5,mistral,0.82,0.81,0.79,1219.24
0.6,mistral,0.81,0.84,0.82,1209.41
0.7,mistral,0.81,0.86,0.82,1207.26
0.8,mistral,0.83,0.87,0.84,1220.26
0.9,mistral,0.82,0.87,0.84,1207.06
1.0,mistral,0.82,0.87,0.84,1213.02
0.1,bert,0.39,0.09,0.12,29.8
0.2,bert,0.76,0.3,0.38,27.13
0.3,bert,0.72,0.55,0.59,29.42
0.4,bert,0.72,0.67,0.68,27.83
0.5,bert,0.73,0.74,0.72,28.52
0.6,bert,0.72,0.75,0.73,29.17
0.7,bert,0.72,0.76,0.73,29.38
0.8,bert,0.73,0.76,0.74,29.45
0.9,bert,0.73,0.76,0.74,29.23
1.0,bert,0.73,0.76,0.74,27.88
0.1,fasttext,0.6,0.18,0.24,0.93
0.2,fasttext,0.68,0.28,0.35,0.81
0.3,fasttext,0.71,0.39,0.45,0.82
0.4,fasttext,0.76,0.48,0.53,0.83
0.5,fasttext,0.73,0.58,0.6,0.79
0.6,fasttext,0.72,0.64,0.64,0.81
0.7,fasttext,0.7,0.67,0.66,0.86
0.8,fasttext,0.68,0.72,0.69,0.87
0.9,fasttext,0.68,0.72,0.69,0.82
1.0,fasttext,0.68,0.73,0.7,0.8
0.1,roberta,0.72,0.76,0.73,30.63
0.2,roberta,0.73,0.77,0.74,31.32
0.3,roberta,0.73,0.77,0.74,31.36
0.4,roberta,0.73,0.77,0.74,31.64
0.5,roberta,0.73,0.77,0.74,31.52
0.6,roberta,0.73,0.77,0.74,30.94
0.7,roberta,0.73,0.77,0.74,31.23
0.8,roberta,0.73,0.77,0.74,31.47
0.9,roberta,0.73,0.77,0.74,31.4
1.0,roberta,0.73,0.77,0.74,31.22
0.1,llama3,0.39,0.21,0.26,1339.0
0.2,llama3,0.61,0.41,0.43,1356.72
0.3,llama3,0.72,0.53,0.55,1112.22
0.4,llama3,0.77,0.69,0.7,1037.88
0.5,llama3,0.81,0.79,0.77,1031.26
0.6,llama3,0.8,0.84,0.81,1029.64
0.7,llama3,0.81,0.85,0.81,1030.63
0.8,llama3,0.81,0.85,0.82,1034.44
0.9,llama3,0.81,0.85,0.82,1032.57
1.0,llama3,0.81,0.85,0.82,1032.54
