ltable_index,rtable_index,predictions
3,0,0
17,0,0
31,0,0
50,0,0
53,0,1
64,0,0
68,0,0
76,0,0
81,0,0
86,0,0
93,0,0
101,0,0
113,0,0
29,1,0
5,2,0
100,2,0
17,3,0
31,3,1
50,3,0
64,3,0
68,3,0
76,3,0
81,3,0
93,3,0
101,3,0
113,3,0
30,4,0
46,4,0
48,4,0
59,4,0
100,5,0
41,6,0
54,6,0
85,6,0
103,6,0
9,7,0
10,7,0
20,7,0
99,7,0
28,8,0
73,8,0
106,8,0
110,8,0
10,9,0
20,9,0
99,9,0
20,10,0
99,10,0
18,11,0
26,11,0
35,11,0
38,11,0
72,11,0
77,11,0
104,11,0
87,12,0
23,13,0
36,13,0
37,13,0
49,13,0
57,13,0
95,13,0
98,13,0
105,13,0
43,15,0
111,15,0
42,16,0
60,16,0
69,16,0
102,16,0
117,16,0
118,16,1
119,16,0
120,16,0
31,17,0
50,17,0
64,17,0
68,17,0
76,17,1
81,17,0
93,17,0
101,17,0
113,17,0
26,18,0
35,18,0
38,18,0
72,18,0
77,18,0
104,18,0
114,19,0
99,20,0
51,21,0
65,21,0
66,21,0
91,21,0
108,21,0
32,22,0
39,22,1
71,22,0
79,22,0
83,22,0
90,22,0
92,22,0
107,22,0
36,23,0
37,23,0
49,23,0
57,23,0
95,23,0
98,23,0
105,23,0
40,24,0
63,24,0
75,24,0
96,24,0
116,24,0
33,25,0
34,25,0
52,25,0
82,25,0
89,25,0
97,25,0
35,26,0
38,26,0
72,26,0
77,26,0
104,26,0
45,27,0
78,27,0
73,28,0
106,28,0
110,28,0
46,30,0
48,30,0
59,30,0
50,31,0
64,31,0
68,31,0
76,31,0
81,31,0
93,31,0
101,31,0
113,31,0
39,32,0
71,32,0
79,32,0
83,32,0
90,32,0
92,32,0
107,32,1
34,33,1
52,33,0
82,33,0
89,33,0
97,33,0
52,34,0
82,34,0
89,34,0
97,34,0
38,35,0
72,35,0
77,35,0
104,35,0
37,36,0
49,36,0
57,36,0
95,36,0
98,36,0
105,36,0
49,37,0
57,37,0
95,37,0
98,37,0
105,37,0
72,38,1
77,38,0
104,38,0
71,39,0
79,39,0
83,39,0
90,39,0
92,39,0
107,39,0
63,40,0
75,40,0
96,40,1
116,40,0
54,41,0
85,41,0
103,41,0
60,42,0
69,42,0
102,42,0
117,42,1
118,42,0
119,42,0
120,42,0
111,43,0
112,44,0
78,45,0
48,46,0
59,46,0
88,47,0
109,47,0
59,48,0
57,49,0
95,49,0
98,49,0
105,49,0
64,50,1
68,50,1
76,50,0
81,50,1
93,50,0
101,50,0
113,50,0
65,51,0
66,51,0
91,51,0
108,51,0
82,52,0
89,52,0
97,52,0
86,53,0
101,53,0
113,53,0
85,54,1
103,54,0
94,55,0
80,56,0
95,57,0
98,57,0
105,57,1
69,60,0
102,60,0
117,60,0
118,60,0
119,60,0
120,60,1
115,62,0
75,63,1
96,63,0
116,63,1
68,64,1
76,64,0
81,64,1
93,64,0
101,64,0
113,64,0
66,65,0
91,65,0
108,65,1
91,66,0
108,66,0
76,68,0
81,68,1
93,68,0
101,68,0
113,68,1
102,69,0
117,69,0
118,69,0
119,69,1
120,69,0
79,71,0
83,71,0
90,71,0
92,71,0
107,71,0
77,72,0
104,72,0
106,73,0
110,73,0
96,75,0
116,75,1
81,76,0
93,76,0
101,76,0
113,76,0
104,77,0
83,79,0
90,79,0
92,79,0
107,79,0
93,81,0
101,81,0
113,81,1
89,82,0
97,82,0
90,83,0
92,83,0
107,83,0
103,85,0
101,86,1
113,86,0
109,88,0
97,89,0
92,90,1
107,90,0
108,91,0
107,92,0
101,93,0
113,93,0
98,95,0
105,95,0
116,96,0
105,98,0
113,101,0
117,102,0
118,102,0
119,102,0
120,102,0
110,106,0
118,117,0
119,117,0
120,117,0
119,118,0
120,118,0
120,119,0
