ltable_index,rtable_index,predictions
2,1,0
3,1,0
4,1,0
5,1,0
3,2,0
4,2,0
5,2,0
4,3,0
5,3,0
5,4,0
8,7,0
12,11,0
15,14,0
16,14,1
66,14,0
67,14,0
68,14,0
98,14,0
99,14,0
16,15,0
66,15,0
67,15,0
68,15,0
98,15,0
99,15,0
66,16,0
67,16,0
68,16,0
98,16,0
99,16,0
19,18,0
21,20,0
22,20,0
23,20,0
22,21,0
23,21,0
23,22,0
26,25,0
27,25,0
27,26,0
29,28,0
30,28,0
31,28,0
32,28,0
33,28,0
30,29,0
31,29,0
32,29,0
33,29,0
31,30,0
32,30,0
33,30,0
32,31,0
33,31,0
33,32,0
37,36,0
38,36,0
39,36,0
40,36,0
41,36,0
42,36,0
38,37,0
39,37,0
40,37,0
41,37,0
42,37,0
39,38,0
40,38,0
41,38,0
42,38,0
40,39,0
41,39,0
42,39,0
41,40,0
42,40,0
42,41,0
55,45,0
56,45,0
57,45,0
48,47,0
49,47,0
50,47,0
49,48,0
50,48,0
50,49,0
52,51,0
53,51,0
53,52,0
56,55,0
57,55,1
57,56,0
61,60,0
62,60,0
111,60,0
62,61,0
111,61,0
111,62,0
67,66,0
68,66,0
96,66,0
97,66,0
98,66,0
99,66,0
68,67,0
96,67,0
97,67,0
98,67,0
99,67,0
96,68,1
97,68,0
98,68,0
99,68,0
71,70,0
72,70,0
73,70,0
72,71,1
73,71,0
73,72,0
76,75,0
87,86,1
88,86,0
89,86,0
90,86,0
88,87,0
89,87,0
90,87,0
89,88,0
90,88,0
90,89,0
94,93,0
95,93,0
95,94,0
97,96,0
99,98,0
101,100,0
102,100,0
102,101,0
106,105,0
108,107,0
110,109,0
