ltable_index,rtable_index,predictions
20,0,0
23,0,0
37,0,0
45,0,0
47,0,0
48,0,0
84,0,0
91,0,0
40,1,0
60,1,0
19,2,0
56,2,0
89,2,0
96,2,0
11,3,0
29,3,0
31,3,0
38,3,0
57,3,0
77,3,0
88,3,0
8,4,0
16,4,0
50,4,0
55,4,0
68,4,0
70,4,0
74,4,0
95,4,0
21,5,0
73,5,0
78,5,0
92,5,0
13,6,0
43,6,1
52,6,0
67,6,0
83,6,0
100,6,0
12,7,0
41,7,0
71,7,1
75,7,0
16,8,0
50,8,0
55,8,0
68,8,0
70,8,0
74,8,0
95,8,0
69,9,0
81,10,0
93,10,0
29,11,0
31,11,0
38,11,0
57,11,0
77,11,0
88,11,1
41,12,0
71,12,0
75,12,0
43,13,0
52,13,0
67,13,0
83,13,0
100,13,0
34,14,0
49,14,0
76,14,0
99,14,0
101,14,0
102,14,0
103,14,1
104,14,0
28,15,0
50,16,0
55,16,0
68,16,0
70,16,0
74,16,0
95,16,0
18,17,0
54,17,0
65,17,0
87,17,0
54,18,0
65,18,0
87,18,0
56,19,0
89,19,0
96,19,0
23,20,0
37,20,0
45,20,0
47,20,0
48,20,0
84,20,0
91,20,0
73,21,0
78,21,0
92,21,0
26,22,0
30,22,0
42,22,0
59,22,0
37,23,0
45,23,0
47,23,0
48,23,0
84,23,0
91,23,0
27,24,0
58,24,0
86,24,0
90,24,0
98,24,0
64,25,0
30,26,0
42,26,0
59,26,0
58,27,0
86,27,0
90,27,0
98,27,0
31,29,0
38,29,0
57,29,0
77,29,0
88,29,0
42,30,0
59,30,0
38,31,0
57,31,0
77,31,0
88,31,0
35,32,0
46,32,0
66,32,0
82,32,0
39,33,0
61,33,0
49,34,0
76,34,0
99,34,0
101,34,0
102,34,0
103,34,0
104,34,1
46,35,0
66,35,0
82,35,0
45,37,0
47,37,0
48,37,0
84,37,0
91,37,0
57,38,0
77,38,0
88,38,0
61,39,0
60,40,0
71,41,0
75,41,1
59,42,0
52,43,0
67,43,0
83,43,0
100,43,0
53,44,0
80,44,0
47,45,0
48,45,0
84,45,0
91,45,0
66,46,0
82,46,1
48,47,0
84,47,0
91,47,0
84,48,0
91,48,1
76,49,0
99,49,0
101,49,0
102,49,0
103,49,0
104,49,0
55,50,0
68,50,0
70,50,0
74,50,0
95,50,1
67,52,0
83,52,0
100,52,0
80,53,0
65,54,0
87,54,0
68,55,0
70,55,1
74,55,0
95,55,0
89,56,0
96,56,0
77,57,0
88,57,0
86,58,0
90,58,0
98,58,0
85,62,0
79,63,0
87,65,0
82,66,0
83,67,0
100,67,0
70,68,0
74,68,0
95,68,0
74,70,0
95,70,0
75,71,0
78,73,0
92,73,0
95,74,1
99,76,0
101,76,0
102,76,1
103,76,0
104,76,0
88,77,0
92,78,0
93,81,0
100,83,0
91,84,0
90,86,0
98,86,0
96,89,0
98,90,0
97,94,0
101,99,1
102,99,0
103,99,0
104,99,0
102,101,0
103,101,0
104,101,0
103,102,0
104,102,0
104,103,0
